* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Users\user\Dropbox\MolLab2015\StudentProjects\STGsingleneuron\061315_CbNaV.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	BADROX	HIGHSD	EXPFAIL
A1	m1	CbNaV	UNKNOWN	SYBR	None	28.5585	28.8121	0.3221				false	1.0472	true	3	22	81.9122				Y	N	N
A2	m1	CbNaV	UNKNOWN	SYBR	None	29.1744	28.8121	0.3221				false	1.0472	true	3	22	81.9122				N	N	N
A3	m1	CbNaV	UNKNOWN	SYBR	None	28.7034	28.8121	0.3221				false	1.0472	true	3	24	82.9014				Y	N	N
A4	m9	CbNaV	UNKNOWN	SYBR	None	28.894	29.0191	0.3796				false	1.0472	true	3	23	82.9014				N	N	N
A5	m9	CbNaV	UNKNOWN	SYBR	None	28.7178	29.0191	0.3796				false	1.0472	true	3	20	82.055				N	N	N
A6	m9	CbNaV	UNKNOWN	SYBR	None	29.4455	29.0191	0.3796				false	1.0472	true	3	22	82.055				N	N	N
A7	z1	CbNaV	UNKNOWN	SYBR	None	32.9419	32.9419					false	1.0472	true	3	24	79.9542				N	N	N
A8	z1	CbNaV	UNKNOWN	SYBR	None	Undetermined	32.9419					false	1.0472	true	3	6	61.9961				N	N	N
A9	z1	CbNaV	UNKNOWN	SYBR	None	Undetermined	32.9419					false	1.0472	true	3	39	62.9781				N	N	Y
A10	z9	CbNaV	UNKNOWN	SYBR	None	32.5083	32.3639	0.2042				false	1.0472	true	3	26	79.8666				N	N	N
A11	z9	CbNaV	UNKNOWN	SYBR	None	32.2195	32.3639	0.2042				false	1.0472	true	3	24	81.3101				N	N	N
A12	z9	CbNaV	UNKNOWN	SYBR	None							false	1.0472	true	3	35					N	N	N
